fare_type,applicable_time,distance,fare_per_ride
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),Up to 3.2 km,78
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),3.3 km - 4.2 km,88
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),4.3 km - 5.2 km,99
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),5.3 km - 6.2 km,109
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),6.3 km - 7.2 km,118
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),7.3 km - 8.2 km,125
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),8.3 km - 9.2 km,132
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),9.3 km - 10.2 km,136
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),10.3 km - 11.2 km,140
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),11.3 km - 12.2 km,144
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),12.3 km - 13.2 km,148
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),13.3 km - 14.2 km,152
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),14.3 km - 15.2 km,157
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),15.3 km - 16.2 km,161
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),16.3 km - 17.2 km,165
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),17.3 km - 18.2 km,170
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),18.3 km - 19.2 km,174
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),19.3 km - 20.2 km,177
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),20.3 km - 21.2 km,180
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),21.3 km - 22.2 km,183
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),22.3 km - 23.2 km,186
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),23.3 km - 24.2 km,188
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),24.3 km - 25.2 km,190
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),25.3 km - 26.2 km,192
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),26.3 km - 27.2 km,193
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),27.3 km - 28.2 km,194
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),28.3 km - 29.2 km,195
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),29.3 km - 30.2 km,196
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),30.3 km - 31.2 km,197
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),31.3 km - 32.2 km,198
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),32.3 km - 33.2 km,199
Adult card fare,Before 7.45am  (Weekdays excluding public holidays),33.3 km - 34.2 km,200
